Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude,TN,TX,TAVG,RR,FF_AVG,Confidence_encoded
Kalimantan Barat,SINTANG,Ketungau Tengah,Margahayu,29/07/2023,13:16 WIB,NASA-MODIS,high,0.78614,11133845.0,,,21.3,33.0,27.1,1
Kalimantan Barat,SAMBAS,Paloh,Temajuk,01/08/2023,13:44 WIB,NASA-MODIS,high,194901.0,10945328.0,,,24.3,33.4,28.4,1
Kalimantan Barat,SINTANG,Kayan Hulu,Tanjung Bunga,29/08/2023,13:40 WIB,NASA-MODIS,high,-0.16307,11205254.0,,,24.8,34.0,27.9,1
Kalimantan Barat,KUBU RAYA,Kubu,Dabong,17/08/2023,12:36 WIB,NASA-NOAA20,high,-0.53845,10928914.0,,,23.5,33.6,27.1,1
Kalimantan Barat,KUBU RAYA,Sungai Raya,Limbung,15/08/2023,13:42 WIB,NASA-MODIS,high,-0.16541,10936442.0,,,21.8,34.6,26.5,1
Kalimantan Barat,KETAPANG,Sungai Laur,Sempurna,31/08/2023,13:25 WIB,NASA-MODIS,high,-117736.0,1104029.0,,,24.1,33.6,28.5,1
Kalimantan Tengah,KOTAWARINGIN TIMUR,Parenggean,Kabuau,19/08/2023,13:37 WIB,NASA-NOAA20,high,-209909.0,11277521.0,,,22.0,33.9,26.9,1
Kalimantan Barat,SINTANG,Ketungau Tengah,Mungguk Lawang,31/08/2023,13:25 WIB,NASA-MODIS,high,0.65801,11168311.0,,,22.6,35.0,28.7,1
Kalimantan Barat,KETAPANG,Sungai Laur,Bengaras,31/08/2023,13:25 WIB,NASA-MODIS,high,-0.95059,11049868.0,,,24.1,33.6,28.5,1
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Besar,20/08/2023,01:34 WIB,NASA-MODIS,high,-190891.0,11015186.0,,,24.6,33.8,28.6,1
Kalimantan Utara,BULUNGAN,Tanjung Palas Barat,Mara Hilir,30/08/2023,11:51 WIB,NASA-NOAA20,high,27678.0,11725644.0,,,25.4,35.8,29.3,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,05/08/2023,13:16 WIB,NASA-MODIS,high,-0.63568,11030821.0,,,24.9,34.2,28.4,1
Kalimantan Barat,KETAPANG,Sandai,Demit,19/08/2023,13:37 WIB,NASA-NOAA20,high,-121035.0,11066417.0,,,24.3,34.0,28.9,1
Kalimantan Barat,SINTANG,Ambalau,Deme,05/08/2023,13:16 WIB,NASA-MODIS,high,-0.18299,11302891.0,,,21.8,34.6,27.7,1
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,28/08/2023,12:27 WIB,NASA-NOAA20,high,-0.84816,1103486.0,,,24.2,33.8,28.3,1
Kalimantan Barat,SINTANG,Ketungau Hulu,Sungai Seria,29/07/2023,13:16 WIB,NASA-MODIS,high,0.87639,11082999.0,,,21.3,33.0,27.1,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Air Dua,10/08/2023,13:29 WIB,NASA-MODIS,high,-195063.0,11080393.0,,,23.8,33.3,27.9,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Riam Danau Kanan,13/08/2023,13:50 WIB,NASA-NOAA20,high,-195355.0,11085262.0,,,22.6,33.2,27.2,1
Kalimantan Barat,SINTANG,Kayan Hilir,Sungai Sintang,18/07/2023,13:37 WIB,NASA-NOAA20,high,0.11198,11206994.0,,,22.6,33.8,28.0,1
Kalimantan Barat,KETAPANG,Kendawangan,Danau Buntar,19/08/2023,13:12 WIB,NASA-MODIS,high,-280599.0,11097997.0,,,24.3,34.0,28.9,1
Kalimantan Barat,KUBU RAYA,Rasau Jaya,Rasau Jaya Umum,01/08/2023,12:36 WIB,NASA-NOAA20,high,-0.16209,10935119.0,,,23.2,34.2,27.4,1
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Besar,19/08/2023,13:12 WIB,NASA-MODIS,high,-191647.0,11013944.0,,,24.3,34.0,28.9,1
Kalimantan Barat,MELAWI,Ella Hilir,Sungai Mentoba,19/07/2023,12:53 WIB,NASA-MODIS,high,-0.29378,11209573.0,,,23.4,34.3,29.1,1
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,10/08/2023,13:29 WIB,NASA-MODIS,high,-0.70995,1102693.0,,,23.8,33.3,27.9,1
Kalimantan Barat,SINTANG,Ketungau Hulu,Sungai Kelik,27/07/2023,13:31 WIB,NASA-MODIS,high,101103.0,11119192.0,,,22.4,33.4,27.6,1
Kalimantan Barat,SINTANG,Ambalau,Luting Mingan,31/08/2023,13:25 WIB,NASA-MODIS,high,-0.00246,11260287.0,,,22.6,35.0,28.7,1
Kalimantan Barat,KETAPANG,Sungai Laur,Harapan Baru,12/08/2023,13:14 WIB,NASA-MODIS,high,-0.76258,11050636.0,,,22.5,32.3,26.6,1
Kalimantan Barat,SINTANG,Ketungau Tengah,Panggi Ruguk,27/07/2023,13:31 WIB,NASA-MODIS,high,0.64328,11138335.0,,,22.4,33.4,27.6,1
Kalimantan Barat,KAPUAS HULU,Seberuang,Nanga Pala,27/07/2023,13:31 WIB,NASA-MODIS,high,0.40938,11193612.0,,,23.9,35.1,29.2,1
Kalimantan Barat,KETAPANG,Sandai,Demit,29/07/2023,13:16 WIB,NASA-MODIS,high,-116718.0,11064395.0,,,23.7,33.6,28.3,1
Kalimantan Barat,KETAPANG,Sungai Laur,Teluk Bayur,15/08/2023,09:49 WIB,NASA-MODIS,high,-117912.0,11048532.0,,,23.0,33.4,27.7,1
Kalimantan Barat,MELAWI,Belimbing,Balai Lagas,20/08/2023,13:20 WIB,NASA-NOAA20,high,-0.5584,11137173.0,,,25.0,34.4,29.4,1
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,29/07/2023,13:16 WIB,NASA-MODIS,high,-0.70346,11142978.0,,,22.5,33.8,27.0,1
Kalimantan Barat,SINTANG,Ambalau,Nanga Sakai,29/07/2023,13:16 WIB,NASA-MODIS,high,-0.21314,11282694.0,,,21.3,33.0,27.1,1
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Bukit Raya,05/08/2023,13:16 WIB,NASA-MODIS,high,-0.7313,11148237.0,,,23.6,35.0,28.9,1
Kalimantan Barat,KAPUAS HULU,Putussibau Utara,Sungai Uluk Palin,27/07/2023,13:31 WIB,NASA-MODIS,high,105334.0,11279596.0,,,23.9,35.1,29.2,1
Kalimantan Barat,MELAWI,Belimbing,Tekaban,29/07/2023,13:31 WIB,NASA-NOAA20,high,-0.37707,11156744.0,,,22.5,33.8,27.0,1
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,17/08/2023,13:27 WIB,NASA-MODIS,high,-0.83951,11035349.0,,,24.4,33.8,28.0,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Kusik Batu Lapu,29/08/2023,13:50 WIB,NASA-NOAA20,high,-19949.0,11093804.0,,,23.6,34.8,29.0,1
Kalimantan Barat,KETAPANG,Kendawangan,Seriam,30/07/2023,13:59 WIB,NASA-MODIS,high,-258129.0,1104124.0,,,23.0,33.8,28.2,1
Kalimantan Barat,KETAPANG,Sandai,Petai Patah,19/08/2023,13:12 WIB,NASA-MODIS,high,-118511.0,11059694.0,,,24.3,34.0,28.9,1
Kalimantan Barat,SINTANG,Ketungau Hulu,Mungguk Entawak,08/08/2023,13:44 WIB,NASA-MODIS,high,0.80467,11125607.0,,,23.6,33.8,28.0,1
Kalimantan Barat,KETAPANG,Nanga Tayap,Siantau Raya,03/08/2023,13:29 WIB,NASA-MODIS,high,-166641.0,11052867.0,,,22.9,34.0,27.6,1
Kalimantan Utara,BULUNGAN,Tanjung Palas,Kelurahan Tanjung Palas Hilir,30/08/2023,12:42 WIB,NASA-MODIS,high,286788.0,11730634.0,,,25.4,35.8,29.3,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Semantun,27/07/2023,12:27 WIB,NASA-NOAA20,high,-209685.0,11097465.0,,,24.0,32.6,28.5,1
Kalimantan Barat,SINTANG,Kayan Hulu,Tapang Manua,05/08/2023,13:16 WIB,NASA-MODIS,high,-0.15994,11241743.0,,,21.8,34.6,27.7,1
Kalimantan Barat,SINTANG,Ketungau Hilir,Jentawang Hilir,29/07/2023,13:31 WIB,NASA-NOAA20,high,0.42883,11170186.0,,,21.3,33.0,27.1,1
Kalimantan Barat,MELAWI,Ella Hilir,Nanga Nuak,27/07/2023,13:31 WIB,NASA-MODIS,high,-0.40303,1121203.0,,,23.6,33.2,28.2,1
Kalimantan Barat,SINTANG,Kayan Hulu,Tanjung Lalau,19/08/2023,13:37 WIB,NASA-NOAA20,high,-0.19908,11212259.0,,,23.2,33.5,26.9,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Kenanga,27/07/2023,13:31 WIB,NASA-MODIS,high,-0.66627,11054495.0,,,24.0,32.6,28.5,1
Kalimantan Utara,BULUNGAN,Tanjung Palas Timur,Tanjung Agung,31/08/2023,13:14 WIB,NASA-NOAA20,high,270612.0,11748325.0,,,24.2,35.4,28.8,1
Kalimantan Barat,SINTANG,Ambalau,Buntut Purun,29/07/2023,13:16 WIB,NASA-MODIS,high,-0.29591,11302432.0,,,21.3,33.0,27.1,1
Kalimantan Barat,SINTANG,Kayan Hulu,Nanga Toran,31/07/2023,13:03 WIB,NASA-MODIS,high,-0.08994,11208684.0,,,21.2,34.2,27.4,1
Kalimantan Barat,SINTANG,Ketungau Tengah,Radin Jaya,27/07/2023,13:31 WIB,NASA-MODIS,high,0.83416,11156055.0,,,22.4,33.4,27.6,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Botuh Bosi,19/08/2023,13:37 WIB,NASA-NOAA20,high,-0.5449,11035532.0,,,24.3,34.0,28.9,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Paoh Concong,05/08/2023,13:16 WIB,NASA-MODIS,high,-0.68737,11039108.0,,,24.9,34.2,28.4,1
Kalimantan Barat,KETAPANG,Manis Mata,Kemuning,10/08/2023,13:29 WIB,NASA-MODIS,high,-221544.0,11095163.0,,,23.8,33.3,27.9,1
Kalimantan Barat,MELAWI,Menukung,Belaban Ella,29/07/2023,13:16 WIB,NASA-MODIS,high,-0.52651,1121926.0,,,22.5,33.8,27.0,1
Kalimantan Barat,SINTANG,Ambalau,Nanga Ukai,14/08/2023,12:59 WIB,NASA-MODIS,high,-0.23701,11297671.0,,,22.2,32.4,26.2,1
