Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,TN,TX,TAVG,RR,FF_AVG
Kalimantan Barat,SINTANG,Ambalau,Deme,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,21.8,34.6,27.7,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang Hulu,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,KETAPANG,Jelai Hulu,Kesuma Jaya,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Kiri,2023-08-08 00:00:00,13:44 WIB,NASA-NOAA20,High,24.4,34.0,28.7,8888.0,3.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Panggi Ruguk,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,23.2,33.8,27.3,0.0,1.0
Kalimantan Barat,KETAPANG,Benua Kayong,Negeri Baru,2023-08-13 00:00:00,13:50 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Sekukun,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,23.7,33.6,28.3,0.0,4.0
Kalimantan Barat,MELAWI,Sayan,Landau Sandak,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,23.6,33.2,28.2,0.0,2.0
Kalimantan Barat,KETAPANG,Singkup,Bukit Kelambing,2023-08-24 00:00:00,13:25 WIB,NASA-MODIS,High,24.9,34.0,28.7,4.3,3.0
Kalimantan Timur,BERAU,Sambaliung,Bena Baru,2023-08-07 00:00:00,13:01 WIB,NASA-MODIS,High,25.0,35.1,28.7,8888.0,2.0
Kalimantan Barat,SINTANG,Serawai,Nanga Segulang,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,22.4,35.0,28.0,0.0,1.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Besar,2023-08-31 00:00:00,21:33 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hulu,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,SINTANG,Serawai,Bedaha,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,2023-08-10 00:00:00,13:29 WIB,NASA-MODIS,High,23.8,33.3,27.9,0.0,4.0
Kalimantan Barat,SINTANG,Kelam Permai,Sepan Lebang,2023-07-18 00:00:00,13:37 WIB,NASA-NOAA20,High,22.6,33.8,28.0,0.0,2.0
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,2023-08-13 00:00:00,13:50 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaiasam,2023-08-19 00:00:00,21:35 WIB,NASA-MODIS,High,24.0,34.4,27.4,3.4,2.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Kubu Berangan,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Sungai Laur,Kepari,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Panggi Agung,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Labai Hilir,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,MELAWI,Sayan,Madya Raya,2023-08-19 00:00:00,13:37 WIB,NASA-NOAA20,High,24.7,35.2,29.2,0.0,1.0
Kalimantan Barat,KETAPANG,Jelai Hulu,Riam Danau Kanan,2023-08-13 00:00:00,13:50 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,MELAWI,Sokan,Tanjung Mahung,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,23.0,34.0,27.5,6.7,2.0
Kalimantan Barat,KETAPANG,Kendawangan,Danau Buntar,2023-06-22 00:00:00,13:37 WIB,NASA-MODIS,High,24.7,34.9,29.2,0.0,3.0
Kalimantan Barat,KETAPANG,Nanga Tayap,Sepakat Jaya,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Hilir,Jentawang Hilir,2023-07-29 00:00:00,13:31 WIB,NASA-NOAA20,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaiasam,2023-08-22 00:00:00,21:59 WIB,NASA-MODIS,High,24.3,31.1,26.4,0.0,2.0
Kalimantan Barat,SINTANG,Serawai,Teluk Harapan,2023-08-13 00:00:00,12:10 WIB,NASA-NOAA20,High,22.0,34.2,27.0,0.0,1.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Mungguk Lawang,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,21.8,34.6,27.7,0.0,1.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Pelang,2023-08-18 00:00:00,01:49 WIB,NASA-MODIS,High,24.0,34.2,28.1,0.0,4.0
Kalimantan Timur,BERAU,Gunung Tabur,Samburakat,2023-08-30 00:00:00,11:51 WIB,NASA-NOAA20,High,24.0,36.2,29.2,0.0,2.0
Kalimantan Barat,SAMBAS,Semparuk,Sepinggan,2023-07-31 00:00:00,21:44 WIB,NASA-MODIS,High,23.2,34.2,27.9,0.0,1.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Lubuk Kakap,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
