Provinsi;Kab Kota;Kecamatan;Desa;Tanggal;Waktu;Satelit;Confidence;Latitude;Longitude;TN;TX;TAVG;RR;FF_AVG;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pasir Mayang;31/07/2023;13:01 WIB;NASA-MODIS;Medium;-1,00000;83559;23.6;34.2;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Periangan;08/08/2023;13:42 WIB;NASA-MODIS;Medium;-2,00000;5627;24.4;34.0;28.7;8888.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Periangan;10/08/2023;13:29 WIB;NASA-MODIS;Medium;-2,00000;4434;23.8;33.3;27.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Periangan;27/07/2023;13:31 WIB;NASA-MODIS;Medium;-2,00000;5695;24.0;32.6;28.5;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Perigi;05/08/2023;13:14 WIB;NASA-MODIS;Medium;-2,00000;1918;24.9;34.2;28.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Rangga Intan;31/07/2023;13:01 WIB;NASA-MODIS;Medium;-1,00000;89041;23.6;34.2;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Riam Danau Kanan;14/08/2023;12:59 WIB;NASA-MODIS;Medium;-1,00000;95035;23.3;33.0;27.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Semantun;24/08/2023;13:25 WIB;NASA-MODIS;Medium;-2,00000;6299;24.9;34.0;28.7;4.3;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Semantun;31/07/2023;13:01 WIB;NASA-MODIS;Medium;-2,00000;10003;23.6;34.2;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Kendawangan;Airhitam Hulu;20/08/2023;09:58 WIB;NASA-MODIS;Medium;-2,00000;64303;24.6;33.8;28.6;0.0;4.0;;;
